x,y,z,label
36.8,9.7,340.3,Carbendazim
40.5,9.1,96.8,Carbendazim
43.0,9.5,358.6,Carbendazim
42.2,9.3,408.2,Carbendazim
41.0,9.1,137.4,Carbendazim
39.4,9.1,79.9,Carbendazim
41.4,9.4,520.4,Carbendazim
40.9,9.1,163.1,Carbendazim
40.1,9.3,414.5,Carbendazim
40.8,9.1,230.3,Carbendazim
39.9,9.1,75.9,Carbendazim
40.2,9.5,414.5,Carbendazim
41.0,9.3,185.9,Carbendazim
40.6,9.0,78.9,Carbendazim
41.7,9.4,250.0,Carbendazim
42.3,9.6,274.9,Carbendazim
40.5,9.0,95.7,Carbendazim
42.3,9.7,463.2,Carbendazim
42.8,10.0,103.3,Carbendazim
43.0,9.5,370.8,Carbendazim
40.4,9.1,91.3,Carbendazim
36.8,9.7,341.2,Carbendazim
43.3,9.7,344.3,Carbendazim
38.0,10.1,686.9,Carbendazim
35.1,10.5,257.9,Carbendazim
37.8,10.1,782.8,Carbendazim
38.0,10.0,767.6,Carbendazim
35.5,10.4,276.4,Carbendazim
32.3,10.1,101.3,Carbendazim
37.5,9.8,414.5,Carbendazim
35.8,10.4,368.2,Carbendazim
38.0,9.9,808.8,Carbendazim
36.9,10.4,432.4,Carbendazim
32.3,10.3,117.2,Carbendazim
37.7,10.0,414.5,Carbendazim
38.6,11.4,414.5,Carbendazim
37.8,10.3,407.5,Carbendazim
33.1,10.4,125.8,Carbendazim
38.0,10.3,481.3,Carbendazim
37.7,10.2,692.8,Carbendazim
33.7,10.3,149.9,Carbendazim
37.7,10.2,615.5,Carbendazim
37.9,10.2,537.0,Carbendazim
37.8,10.2,506.5,Carbendazim
34.4,10.3,266.0,Carbendazim
38.3,10.2,584.0,Carbendazim
43.2,9.9,327.8,Carbendazim
39.1,8.9,109.8,Carbendazim
36.8,11.3,414.5,Carbendazim
36.8,9.5,449.4,Carbendazim
39.4,8.9,101.3,Carbendazim
40.4,9.0,138.2,Carbendazim
36.8,10.0,580.0,Carbendazim
40.9,10.3,119.9,Carbendazim
36.8,10.1,584.5,Carbendazim
41.6,8.7,224.5,Carbendazim
40.6,8.8,129.9,Carbendazim
42.5,9.4,229.1,Carbendazim
40.6,10.2,414.5,Carbendazim
41.5,9.5,282.4,Carbendazim
42.2,9.7,303.9,Carbendazim
40.0,8.8,146.2,Carbendazim
42.4,9.6,352.9,Carbendazim
42.7,9.1,318.9,Carbendazim
36.4,10.0,487.3,Carbendazim
34.3,9.6,168.3,Carbendazim
36.9,10.2,672.0,Carbendazim
36.8,10.0,680.7,Carbendazim
34.6,9.6,335.0,Carbendazim
32.4,9.9,85.7,Carbendazim
36.7,10.0,824.6,Carbendazim
34.8,9.7,338.7,Carbendazim
36.7,10.0,840.5,Carbendazim
35.2,9.6,422.3,Carbendazim
33.0,9.5,102.0,Carbendazim
36.6,9.9,414.5,Carbendazim
35.3,9.9,488.0,Carbendazim
35.6,9.8,252.2,Carbendazim
33.4,9.5,72.2,Carbendazim
35.8,9.5,442.5,Carbendazim
35.8,9.8,388.9,Carbendazim
33.7,9.5,125.8,Carbendazim
36.0,9.9,441.3,Carbendazim
36.0,10.3,488.5,Carbendazim
34.0,9.5,122.2,Carbendazim
36.2,10.1,431.3,Carbendazim
37.1,11.6,407.2,Carbendazim
33.5,9.8,232.7,Carbendazim
37.4,11.6,474.6,Carbendazim
37.6,9.8,502.8,Carbendazim
33.9,9.8,306.4,Carbendazim
37.9,11.3,540.0,Carbendazim
38.2,11.0,580.0,Carbendazim
36.8,9.8,261.4,Carbendazim
38.4,11.2,582.0,Carbendazim
34.4,9.8,316.6,Carbendazim
39.3,9.8,414.5,Carbendazim
34.8,9.8,395.8,Carbendazim
36.8,9.8,261.4,Carbendazim
40.5,9.8,414.5,Carbendazim
35.2,9.8,322.3,Carbendazim
32.4,9.8,362.3,Carbendazim
35.5,9.8,323.9,Carbendazim
35.7,9.8,324.0,Carbendazim
32.7,9.8,177.8,Carbendazim
36.1,9.8,371.1,Carbendazim
36.3,9.8,406.5,Carbendazim
33.1,9.8,190.8,Carbendazim
36.6,9.8,360.5,Carbendazim
37.0,9.8,368.0,Carbendazim
35.2,9.4,481.0,Carbendazim
35.0,9.6,228.5,Carbendazim
35.3,9.5,539.3,Carbendazim
35.4,9.4,603.2,Carbendazim
35.0,9.4,258.2,Carbendazim
34.5,9.5,85.0,Carbendazim
35.6,9.5,735.6,Carbendazim
35.1,9.4,295.7,Carbendazim
35.7,9.5,761.8,Carbendazim
35.1,9.3,304.8,Carbendazim
34.6,9.3,102.0,Carbendazim
36.0,9.6,798.4,Carbendazim
35.0,9.3,310.0,Carbendazim
34.6,9.3,93.4,Carbendazim
35.0,9.3,353.6,Carbendazim
35.1,9.3,363.6,Carbendazim
34.7,9.3,97.8,Carbendazim
35.2,9.4,404.1,Carbendazim
34.8,9.4,136.4,Carbendazim
35.1,9.3,446.3,Carbendazim
36.8,10.5,586.4,Carbendazim
36.8,11.1,202.0,Carbendazim
36.8,10.6,658.9,Carbendazim
36.8,10.5,678.0,Carbendazim
36.8,10.9,395.5,Carbendazim
36.8,9.8,135.1,Carbendazim
36.8,10.5,808.5,Carbendazim
36.8,10.8,346.0,Carbendazim
36.8,10.5,826.6,Carbendazim
36.8,10.9,333.7,Carbendazim
36.8,11.5,179.8,Carbendazim
36.8,10.5,414.5,Carbendazim
36.8,10.9,372.7,Carbendazim
36.8,10.7,386.2,Carbendazim
36.8,11.5,160.5,Carbendazim
36.8,10.7,396.7,Carbendazim
36.8,10.7,453.7,Carbendazim
36.8,11.3,176.7,Carbendazim
36.8,10.7,489.9,Carbendazim
36.8,10.7,537.3,Carbendazim
36.8,11.2,191.3,Carbendazim
36.8,10.6,538.9,Carbendazim
39.3,9.8,796.8,Carbendazim
35.2,8.8,324.0,Carbendazim
39.1,9.8,782.6,Carbendazim
39.2,9.8,414.5,Carbendazim
35.9,9.0,475.8,Carbendazim
36.8,9.8,70.6,Carbendazim
40.3,10.4,414.5,Carbendazim
36.6,9.3,601.4,Carbendazim
39.3,9.6,576.4,Carbendazim
39.7,9.8,414.5,Carbendazim
37.0,9.4,680.7,Carbendazim
32.3,9.8,216.0,Carbendazim
39.4,9.8,414.5,Carbendazim
37.3,9.5,720.2,Carbendazim
37.8,9.6,637.7,Carbendazim
33.2,9.8,324.0,Carbendazim
38.1,9.6,620.4,Carbendazim
38.7,9.7,651.8,Carbendazim
33.8,9.8,300.0,Carbendazim
39.0,9.8,757.9,Carbendazim
39.2,9.9,748.3,Carbendazim
34.5,8.6,374.7,Carbendazim
39.1,9.8,718.2,Carbendazim
35.6,9.8,647.4,Carbendazim
36.8,9.8,455.4,Carbendazim
36.1,9.8,655.3,Carbendazim
36.1,9.8,738.2,Carbendazim
36.8,9.8,559.7,Carbendazim
36.8,9.8,418.6,Carbendazim
36.4,9.8,811.4,Carbendazim
31.8,9.8,611.3,Carbendazim
36.6,9.8,414.5,Carbendazim
32.2,9.8,646.0,Carbendazim
36.8,9.8,771.1,Carbendazim
36.5,9.8,414.5,Carbendazim
32.7,9.8,414.5,Carbendazim
33.0,9.8,457.1,Carbendazim
36.8,9.8,370.4,Carbendazim
33.5,9.8,474.1,Carbendazim
34.1,9.8,514.8,Carbendazim
34.5,9.8,487.7,Carbendazim
36.8,9.8,371.1,Carbendazim
34.5,9.8,677.9,Carbendazim
34.9,9.8,572.8,Carbendazim
36.8,9.8,389.6,Carbendazim
35.4,9.8,515.6,Carbendazim
35.3,8.8,614.7,Carbendazim
36.8,9.8,289.6,Carbendazim
35.5,8.7,718.5,Carbendazim
35.4,8.7,757.2,Carbendazim
36.8,9.8,338.9,Carbendazim
36.8,8.8,81.1,Carbendazim
35.5,8.7,824.5,Carbendazim
32.0,9.8,414.5,Carbendazim
35.4,8.7,414.5,Carbendazim
32.3,9.8,540.0,Carbendazim
36.8,9.8,158.0,Carbendazim
35.5,8.8,414.5,Carbendazim
32.4,9.8,558.0,Carbendazim
32.8,9.8,562.5,Carbendazim
36.8,9.8,180.4,Carbendazim
33.4,8.6,681.5,Carbendazim
33.9,8.7,567.0,Carbendazim
34.4,8.6,646.5,Carbendazim
36.8,9.8,234.5,Carbendazim
34.6,8.7,704.0,Carbendazim
34.9,8.8,702.9,Carbendazim
36.8,9.8,266.1,Carbendazim
35.0,8.7,758.7,Carbendazim
35.1,8.7,704.5,Carbendazim
28.0,12.9,86.5,Chlorantraniliformamide
33.4,40.9,53.1,Chlorantraniliformamide
28.0,12.0,53.1,Chlorantraniliformamide
28.0,11.2,76.4,Chlorantraniliformamide
34.3,33.8,53.1,Chlorantraniliformamide
26.2,23.2,53.1,Chlorantraniliformamide
35.7,28.2,53.1,Chlorantraniliformamide
28.0,22.9,53.1,Chlorantraniliformamide
27.9,23.2,53.1,Chlorantraniliformamide
28.0,19.0,53.1,Chlorantraniliformamide
30.4,23.2,76.0,Chlorantraniliformamide
28.5,23.2,72.0,Chlorantraniliformamide
28.0,15.8,53.1,Chlorantraniliformamide
31.8,23.2,80.5,Chlorantraniliformamide
28.0,14.2,53.1,Chlorantraniliformamide
32.4,18.5,68.2,Chlorantraniliformamide
27.2,23.2,48.4,Chlorantraniliformamide
33.0,13.5,75.3,Chlorantraniliformamide
33.8,13.7,80.7,Chlorantraniliformamide
34.3,13.5,81.5,Chlorantraniliformamide
34.7,12.8,80.7,Chlorantraniliformamide
24.4,23.2,29.4,Chlorantraniliformamide
35.0,12.2,69.6,Chlorantraniliformamide
27.9,23.2,46.0,Chlorantraniliformamide
25.4,23.2,38.9,Chlorantraniliformamide
35.1,11.3,90.9,Chlorantraniliformamide
28.7,39.7,57.9,Chlorantraniliformamide
35.4,11.2,68.7,Chlorantraniliformamide
29.4,35.5,57.1,Chlorantraniliformamide
29.9,31.0,71.1,Chlorantraniliformamide
26.3,23.2,45.2,Chlorantraniliformamide
35.3,10.3,64.0,Chlorantraniliformamide
30.6,27.1,63.5,Chlorantraniliformamide
31.2,23.9,61.4,Chlorantraniliformamide
35.4,10.3,57.6,Chlorantraniliformamide
31.8,21.2,67.4,Chlorantraniliformamide
31.8,21.2,67.4,Chlorantraniliformamide
33.0,14.9,70.2,Chlorantraniliformamide
27.6,32.6,53.1,Chlorantraniliformamide
33.6,13.7,57.6,Chlorantraniliformamide
33.9,12.7,63.3,Chlorantraniliformamide
27.6,29.5,37.3,Chlorantraniliformamide
34.3,11.9,64.4,Chlorantraniliformamide
24.0,23.2,44.2,Chlorantraniliformamide
29.1,26.2,56.4,Chlorantraniliformamide
30.1,24.0,67.6,Chlorantraniliformamide
25.3,38.1,49.3,Chlorantraniliformamide
31.0,21.9,64.0,Chlorantraniliformamide
31.4,20.2,61.1,Chlorantraniliformamide
26.8,35.8,47.1,Chlorantraniliformamide
31.9,18.2,64.0,Chlorantraniliformamide
32.6,16.3,61.1,Chlorantraniliformamide
28.0,11.6,34.2,Chlorantraniliformamide
28.0,18.5,29.0,Chlorantraniliformamide
28.0,12.2,38.1,Chlorantraniliformamide
28.0,16.9,27.0,Chlorantraniliformamide
28.0,27.1,21.3,Chlorantraniliformamide
28.0,15.3,33.0,Chlorantraniliformamide
28.0,14.3,30.0,Chlorantraniliformamide
28.0,23.0,24.6,Chlorantraniliformamide
28.0,13.9,38.2,Chlorantraniliformamide
28.0,21.2,53.1,Chlorantraniliformamide
28.0,12.8,36.7,Chlorantraniliformamide
28.0,12.4,31.8,Chlorantraniliformamide
27.4,15.0,54.1,Chlorantraniliformamide
22.6,23.4,26.0,Chlorantraniliformamide
27.5,14.6,46.3,Chlorantraniliformamide
23.1,21.2,31.4,Chlorantraniliformamide
21.0,36.4,24.3,Chlorantraniliformamide
23.6,19.4,42.8,Chlorantraniliformamide
24.0,19.3,39.4,Chlorantraniliformamide
24.4,18.5,37.1,Chlorantraniliformamide
21.5,27.4,25.2,Chlorantraniliformamide
25.1,16.5,38.8,Chlorantraniliformamide
25.4,16.4,43.1,Chlorantraniliformamide
21.5,27.4,25.2,Chlorantraniliformamide
25.9,16.1,45.8,Chlorantraniliformamide
22.1,25.0,25.3,Chlorantraniliformamide
26.5,15.6,46.5,Chlorantraniliformamide
32.9,16.9,69.6,Chlorantraniliformamide
25.2,35.0,28.7,Chlorantraniliformamide
33.8,15.8,66.1,Chlorantraniliformamide
25.8,31.0,46.3,Chlorantraniliformamide
23.6,23.2,21.2,Chlorantraniliformamide
26.6,28.8,44.5,Chlorantraniliformamide
27.1,24.1,51.1,Chlorantraniliformamide
27.6,24.6,50.4,Chlorantraniliformamide
23.5,38.3,28.1,Chlorantraniliformamide
28.3,21.0,58.5,Chlorantraniliformamide
29.1,21.3,70.7,Chlorantraniliformamide
24.5,35.5,25.3,Chlorantraniliformamide
30.3,18.9,70.2,Chlorantraniliformamide
30.3,19.9,70.6,Chlorantraniliformamide
31.7,17.3,77.7,Chlorantraniliformamide
32.3,17.3,75.3,Chlorantraniliformamide
26.4,23.1,54.4,Chlorantraniliformamide
19.9,35.8,35.7,Chlorantraniliformamide
20.4,34.2,24.9,Chlorantraniliformamide
24.1,23.2,31.4,Chlorantraniliformamide
21.0,31.3,32.3,Chlorantraniliformamide
22.3,30.7,34.4,Chlorantraniliformamide
23.7,29.1,41.2,Chlorantraniliformamide
20.3,23.2,23.8,Chlorantraniliformamide
24.2,27.1,50.1,Chlorantraniliformamide
24.3,27.6,42.6,Chlorantraniliformamide
19.6,41.3,24.6,Chlorantraniliformamide
24.2,25.5,41.6,Chlorantraniliformamide
24.4,24.5,40.9,Chlorantraniliformamide
19.9,38.7,24.0,Chlorantraniliformamide
25.5,23.7,40.4,Chlorantraniliformamide
30.6,23.7,53.1,Chlorantraniliformamide
19.9,40.6,51.0,Chlorantraniliformamide
28.0,35.9,47.3,Chlorantraniliformamide
20.1,23.2,69.7,Chlorantraniliformamide
19.8,34.5,60.4,Chlorantraniliformamide
19.6,32.1,39.8,Chlorantraniliformamide
19.7,28.9,39.0,Chlorantraniliformamide
28.0,23.2,31.8,Chlorantraniliformamide
20.5,25.5,50.0,Chlorantraniliformamide
20.8,26.8,48.7,Chlorantraniliformamide
28.0,23.2,22.2,Chlorantraniliformamide
25.8,35.3,53.1,Chlorantraniliformamide
31.0,24.5,76.1,Chlorantraniliformamide
28.0,23.2,27.9,Chlorantraniliformamide
25.4,26.1,53.1,Chlorantraniliformamide
33.5,17.7,75.9,Chlorantraniliformamide
28.2,26.6,57.4,Chlorantraniliformamide
28.9,25.3,56.1,Chlorantraniliformamide
26.5,33.3,50.5,Chlorantraniliformamide
29.3,23.2,73.5,Chlorantraniliformamide
29.7,21.4,73.5,Chlorantraniliformamide
30.4,20.5,74.5,Chlorantraniliformamide
32.1,21.5,79.9,Chlorantraniliformamide
26.8,32.7,51.9,Chlorantraniliformamide
32.4,20.7,68.7,Chlorantraniliformamide
32.7,20.0,72.2,Chlorantraniliformamide
27.3,31.4,51.8,Chlorantraniliformamide
33.0,18.1,74.5,Chlorantraniliformamide
27.7,27.4,52.6,Chlorantraniliformamide
