DF_index,RMSE_mean,MAE_mean,R2_mean
1,9.481333914997289e-06,5.874082666666496e-06,0.9995358580285589
2,1.2458691472287122e-05,7.200543999999961e-06,0.9993731354366412
3,8.17246517652002e-06,5.337630666666903e-06,0.9998018907380303
4,5.938896162855065e-06,4.010025333333326e-06,0.9998663200987835
5,1.5484340073300693e-05,1.020284666666674e-05,0.9991306057692306
6,5.165557241419321e-06,3.5777253333336005e-06,0.9998650705065553
7,6.333611056631279e-06,4.153779999999769e-06,0.9998793517335941
8,1.001436737920766e-05,7.177381244444769e-06,0.9996024559135746
9,6.520407346447662e-06,4.0075373333332735e-06,0.9998735215672226
10,4.913544622592692e-06,3.1563026666665682e-06,0.9998785384467037
