F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
3.838774622597005e-06,-4.5217258206648805e-06,-5.093056395207323e-06,-6.177021871725749e-06,-1.884489809508777e-05,-1.3352946262556371e-05,-4.515869907670729e-07,-1.1464406775538184e-05,-3.5879430150196557e-06,-4.04823741490353e-06,6.474953031340503e-07,-3.692538481955227e-05,0.00017168293646863654
4.238081556750895e-06,-5.187955894446305e-06,-5.220021934035557e-06,-5.350062326989943e-06,-1.8251172767611448e-05,-1.3855340203934694e-05,-6.753584669315608e-07,-1.178564022679346e-05,-2.281463345981019e-06,-3.5581041087566134e-06,9.055400601501905e-07,-3.72807057296714e-05,0.00015436420232159173
4.09787620253876e-06,-8.004546820849695e-06,-6.046173695635172e-06,-6.147568450836264e-06,-1.555294100455415e-05,-1.2283920803914553e-05,-4.707961346146798e-07,-9.937333191430379e-06,-1.3456807315701474e-06,-2.5872728710552826e-06,1.4009052725275595e-06,-2.9561606519348184e-05,0.00012679105768207994
4.271662074785604e-06,-9.243623125737366e-06,-6.567601935210228e-06,-6.712947383189089e-06,-1.616920877121295e-05,-1.2186259783898918e-05,-7.095100337149628e-07,-9.339157647639936e-06,-1.4649929261401737e-06,-2.6166553812138217e-06,1.4914399589843983e-06,-2.7450516188088038e-05,0.00011850937007560922
4.370266223308797e-06,-1.1785906554088218e-05,-7.083082309863253e-06,-9.07965648121377e-06,-1.7224410677170774e-05,-6.984324852610015e-06,-8.63763182550461e-07,-6.5085929988817935e-06,-1.5163775630025072e-06,-1.501127054891479e-06,1.5527728495632268e-06,-1.4360667237219257e-05,8.96335354386158e-05
4.2040529073823546e-06,-1.2979614163526294e-05,-6.996405441472648e-06,-9.704792858332227e-06,-1.8530637534282748e-05,-5.7799542455550654e-06,-8.476759446589852e-07,-6.964603503266591e-06,-1.5937157623758163e-06,-1.2879484326317967e-06,1.8340339656587553e-06,-1.2863033387533634e-05,8.280562666726043e-05
4.330104953782807e-06,-1.3002899872348947e-05,-6.852538309285816e-06,-9.872535704344325e-06,-1.9472964223613692e-05,-5.337065637308225e-06,-8.907353489523507e-07,-6.962705007929004e-06,-2.5343214883290076e-06,-1.3473028380444198e-06,1.807092217781033e-06,-1.2862804111689574e-05,7.366400763694685e-05
4.445454129214536e-06,-1.333643035118188e-05,-6.776776990876865e-06,-1.0328133566913614e-05,-1.9498546278862398e-05,-5.138527990036014e-06,-8.562486477811405e-07,-9.685543675027923e-06,-2.697098434574721e-06,-1.1316628173027008e-06,1.8878974374029582e-06,-1.2901793186519047e-05,6.544607597245849e-05
4.768315385618619e-06,-1.4689859904401416e-05,-6.708015555405434e-06,-1.0116661768262735e-05,-1.849314176130893e-05,-4.161213926628544e-06,-7.530311071352939e-07,-9.615071557442304e-06,-2.1001043080866637e-06,-9.614563707255103e-07,2.0355162221364104e-06,-1.2776047274327254e-05,5.45627708593013e-05
4.9400644372696606e-06,-1.5424506286974387e-05,-6.426629053445177e-06,-9.92589037029427e-06,-1.7118941382570066e-05,-4.22625482089235e-06,-7.961251037664122e-07,-9.898904818539413e-06,-2.0829290720456017e-06,-7.216651918488559e-07,2.0905910138234908e-06,-1.283862651629011e-05,4.389181609890556e-05
5.083594513254155e-06,-1.5846098546507326e-05,-6.7289933505409086e-06,-1.0129405550128157e-05,-1.5393445527293274e-05,-5.117589232595099e-06,-8.537445012578415e-07,-1.046287589830616e-05,-1.3659845173532098e-06,-6.692447461923036e-07,2.2245004348706492e-06,-1.2850935549686991e-05,3.5975554738403996e-05
5.130730541456447e-06,-1.6141518785053927e-05,-6.82168689967873e-06,-9.95763611988995e-06,-1.4504716339468675e-05,-5.522465142286169e-06,-5.267123637564817e-07,-9.881148543181913e-06,-1.3079180746733979e-06,-6.608691812296755e-07,2.2098661588783944e-06,-1.2970216277006578e-05,2.8706289959223908e-05
4.953286029070027e-06,-1.617688510556869e-05,-6.5926301986947735e-06,-9.818587409562101e-06,-1.3955793943222766e-05,-5.723367260209223e-06,-5.334568619493995e-07,-8.895162203512437e-06,-1.4054021792457921e-06,-5.096836610441444e-07,2.2280933169487317e-06,-1.3046380803341871e-05,2.3974635880333273e-05
