DF_index,RMSE_mean,MAE_mean,R2_mean
1,8.52332768239287e-06,4.2483815999999805e-06,0.9998426593470118
2,1.550427909577568e-05,8.979897066666796e-06,0.9993918699618177
3,7.549428292441258e-06,4.327122666666398e-06,0.9998160815941524
4,4.702651844659727e-06,2.6156834666667362e-06,0.9998118513875978
5,1.0441325108155067e-05,5.775360000000123e-06,0.9994820559581794
6,2.0039568815470846e-05,1.3329224799999998e-05,0.9988252128276395
7,1.2634906258556292e-05,6.269052533333147e-06,0.9996144445650478
8,1.5802280313430737e-05,6.115195999999974e-06,0.9994381044816432
9,7.842190592793052e-06,4.895234666666942e-06,0.9998398890397094
10,9.396908950076672e-06,5.490978666667173e-06,0.9997565279859746
