F0,F1,F2,F3,F4,F5,F6
9.676927958976773e-07,8.09805055232612e-06,6.591670862159546e-07,-2.981598062620228e-06,9.837359105185508e-06,-8.635682539618213e-05,-0.00032648407834749243
2.8269403195042788e-06,6.353576820726396e-06,3.1888510045126915e-06,-2.886022109146973e-06,8.064157896532523e-06,-8.361748210033079e-05,-0.00034108025409846276
1.2239730659140227e-05,8.607132773806573e-06,5.930849679903612e-06,-2.386539932378631e-06,4.8809481836482065e-06,-7.997383349662122e-05,-0.0003655451868008353
1.373896178430817e-05,8.778820060269379e-06,4.677671517368419e-06,-2.6589191339485345e-06,4.539128833592719e-06,-8.272949354328122e-05,-0.0003726030684516468
1.2993712058730871e-05,8.405927979178055e-06,6.0142993027269605e-06,-2.7775953722453414e-06,4.167711998769816e-06,-8.291205448639533e-05,-0.0003800822337474353
1.5748111366005955e-05,8.86943694011737e-06,8.20131878680277e-06,-2.460632065071496e-06,2.9986957815336655e-06,-8.311289728217125e-05,-0.00039576093246055066
1.4748986424422003e-05,9.217306254376204e-06,8.835584301978577e-06,-2.9009927088423557e-06,1.6896674760695218e-06,-8.318441388578083e-05,-0.00040243970346222525
1.3002081305391619e-05,9.945238673645564e-06,9.75988126685303e-06,-2.6959798307983645e-06,1.2749344869169867e-06,-8.453925557123861e-05,-0.0004139787992641094
1.0535240927657068e-05,9.309813842933112e-06,9.60439618182315e-06,-2.559108635413682e-06,2.648394025995468e-06,-8.727648869351084e-05,-0.00041496747991615936
8.358392063708886e-06,8.258344440088587e-06,9.827139527996144e-06,-2.689906125086954e-06,4.1278603585558504e-06,-8.710080368158225e-05,-0.0004166425921836897
6.071162771652012e-06,7.170006228926149e-06,9.992931636665935e-06,-2.884741690799565e-06,5.1939695872310855e-06,-8.898284987804824e-05,-0.0004185853775889736
4.326253746261865e-06,5.5109838005454544e-06,1.1560260645914465e-05,-2.6318170709934805e-06,5.966242615418266e-06,-8.908326908175747e-05,-0.0004204522202554052
1.8116527121258023e-06,3.606588162243187e-06,1.344889247725944e-05,-3.164164152817358e-06,5.431363083505167e-06,-9.007556612087153e-05,-0.0004208156650947935
1.3241059672891204e-06,2.480047242508702e-06,1.5386376519021905e-05,-3.1736742761808725e-06,4.738652583143537e-06,-9.103796553003279e-05,-0.0004226571081057649
1.706287711850414e-06,2.3984461008162252e-06,1.65560621012791e-05,-2.994831845999834e-06,3.353789199900079e-06,-9.165899387947915e-05,-0.000425518991655053
1.0157968123537758e-06,1.305904615116824e-06,1.7351622079883754e-05,-3.0657206798723256e-06,2.1865076087503816e-06,-9.210866337839871e-05,-0.00042468601265784924
8.741384156233736e-07,1.0371123880443024e-06,1.790517247454576e-05,-3.0566295157936734e-06,1.030602992172648e-06,-9.298855933566968e-05,-0.0004252574030189419
1.0535764754375493e-06,8.630129963088457e-07,1.8683565473815593e-05,-3.039837530452171e-06,2.0125185708895627e-07,-9.31376989930826e-05,-0.0004260724358791379
6.942094633822233e-07,7.533603647313095e-07,1.9331489040738686e-05,-3.1583571426828766e-06,-1.0850395480943075e-06,-9.346837700374048e-05,-0.0004273341841076877
1.3497592472092535e-07,2.9820841227800143e-07,2.063072185306065e-05,-3.5372353568484468e-06,-2.083025160638221e-06,-9.386450125854171e-05,-0.0004279873766807141
-2.5487787905544556e-07,4.929402294897362e-08,2.1611783517103167e-05,-3.6744284276514355e-06,-2.6074160907592252e-06,-9.414215476995002e-05,-0.00042896909930598305
-7.597596092945731e-07,-2.4390843404097204e-08,2.212376886796254e-05,-3.824085211450197e-06,-2.685967859510739e-06,-9.459352019214405e-05,-0.00042835294408550786
-1.3817343613428259e-06,5.5423278026870686e-08,2.23364051052297e-05,-3.921012234247956e-06,-3.3666090166881374e-06,-9.480156554968119e-05,-0.0004280611394879797
-1.7999230663424922e-06,1.776328239884004e-08,2.2178821510329676e-05,-3.9795660162122075e-06,-3.6194483969109583e-06,-9.504979904101134e-05,-0.00042729474720559914
-1.995448696244214e-06,-7.26628666933026e-08,2.241862060812555e-05,-4.101656971105561e-06,-3.9607508555163195e-06,-9.536896951218397e-05,-0.0004274660306397262
-2.347409272193923e-06,7.197020758435302e-08,2.1997413681633057e-05,-4.079702461681735e-06,-4.1062125543340446e-06,-9.540618234925987e-05,-0.00042649344285176064
-2.594578950694278e-06,1.4324643490692924e-07,2.197217506379856e-05,-4.150005279116301e-06,-4.407576815636435e-06,-9.550790874478684e-05,-0.00042624891730848476
-2.7750583877810646e-06,2.823011647041875e-07,2.1670071205309038e-05,-4.190275778336163e-06,-4.75659765493037e-06,-9.561415239895168e-05,-0.0004250398537500285
-2.780425026924878e-06,3.462964101433021e-07,2.147319849689357e-05,-4.140486334450432e-06,-4.750864483719198e-06,-9.563480864667009e-05,-0.0004247798093486185
-2.8157377794745175e-06,3.335513458296526e-07,2.151397751453328e-05,-4.096047661703561e-06,-4.661033894987827e-06,-9.563247482805464e-05,-0.0004240291336294862
-2.7597534171357727e-06,2.852225846446689e-07,2.1517183842160236e-05,-4.008625518341274e-06,-4.581206135372325e-06,-9.558551019008323e-05,-0.0004234908767658854
-2.734137931986708e-06,2.0485733499068228e-07,2.1608701187973912e-05,-3.998997478732813e-06,-4.535802077604991e-06,-9.541879872275315e-05,-0.0004229993879118976
-2.7976592472768713e-06,2.101358548298187e-07,2.1707297065113814e-05,-3.991752275639388e-06,-4.4232777221714165e-06,-9.533264971418858e-05,-0.00042222565956067797
-2.6517216188583046e-06,1.979761533836172e-07,2.1852057532505944e-05,-3.950997441328329e-06,-4.3504270947329166e-06,-9.518677788544523e-05,-0.0004210303419122036
